Reason,Category,Tight Cat
Adulterated: Microbial Contamination (Aspergillus flavus); Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus terreus),Aspergillus,Multiple
Adulterated: Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus flavus); Microbial Contamination (Aspergillus terreus),Aspergillus,Aspergillus
Adulterated: Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus fumigatus); Microbial Contamination (Aspergillus flavus); Microbial Contamination (Aspergillus terreus),Aspergillus,Aspergillus
Adulterated and Misbranded: misrepresentative testing,Invalid Testing,Aspergillus
Adulterated and Misbranded: Microbial Contamination (Aspergillus terreus); Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus flavus); Inaccurate Labeling (Cannabinoid inflation),"Multiple: Inaccurate Ingredient Label, Lacking GMP",Aspergillus
Adulterated and Misbranded: Other Inn,Inacurate Ingredient Label,Invalid Testing
Adulterated: Prohibited Product; Other,"Multiple: Inaccurate Product Type, Lacking GMP, Exceeds THC, Acidified Beverage",Multiple
Adulterated and Misbranded: Other; Inaccurate Labeling (Cannabinoid inflation),"Multiple: Attractive to Children, THC Inflation",Multiple
Adulterated and Misbranded: Other,"Multiple: Invalid Testing, Attractive Labeling",Multiple
Adulterated and Misbranded: Other misleading,"Multiple: Invalid Testing, Misleading Label",Multiple
Adulterated: Microbial Contamination (Aspergillus flavus); Microbial Contamination (Aspergillus niger),Aspergillus,Multiple
Adulterated: Microbial Contamination (Aspergillus fumigatus),Aspergillus,Multiple
Adulterated: Microbial Contamination (Aspergillus fumigatus); Microbial Contamination (Aspergillus niger); Microbial Contamination (Aspergillus flavus),Aspergillus,Aspergillus
Inaccurate Ingredient Label,Inaccurate Ingredient Label,Aspergillus
Adulterated: Other,Prohibited Additives / Product,Aspergillus
Adulterated and Misbranded: Prohibited Product,Prohibited Additives / Product,Inaccurate Ingredient Label
Adulterated: Pesticide Category I Contamination (Daminozide),Pesticides,Prohibited Additives / Product
"Inaccurate Ingredient Label, Unverifiable GMP","Multiple: inaccurate Ingredient Label, Unverifiable GMP",Prohibited Additives / Product
Distributor Without License; No Surveillance of Sampling,Multiple: Distributor Without License; No Surveillance of Sampling,Pesticides
No GMP,No GMP,Multiple
Distributor Without License,Distributor Without License,Multiple
Multiple: Pesticides / Aspergillus,Multiple: Pesticides / Aspergillus,No GMP
Discrepancy between inner and outer label,Inaccurate Potency,Distributor Without License
Total Yeast and Mold and Aspergillus.,"Multiple: Yeast and Mold, Aspergillus",Multiple
Total Yeast and Mold exceeds limits,Total Yeast and Mold,Inaccurate Potency
Total Yeast and Mold and Moisture Content,"Multiple: Total Yeast and Mold, Moisture Content",Multiple
Chlorfenapyr,Pesticides,Total Yeast and Mold
Chlorfenapyr.,Pesticides,Multiple
"Bifenazate, Fluopyram, and Myclobutanil.",Pesticides,Pesticides
"Total Yeast and Mold, Arsenic, Cadmium, Lead","Multiple: Total Yeast and Mold, Heavy Metals",Pesticides
elemental impurities.,Heavy Metal,Pesticides
"Total Yeast and Mold, elemental impurities","Multiple: Total Yeast and Mold, Heavy Metals",Multiple
Chlorfenapyr and Fluopyram.,Pesticides,Heavy Metal
chlorfenapyr and paclobutrazol.,Pesticides,Multiple
myclobutanil.,Pesticides,Pesticides
"hexythiazox, fluopyram, bifenazate",Pesticides,Pesticides
Total Yeast and Mold.,Total Yeast and Mold,Pesticides
"Total Yeast and Mold, cadmium","Multiple: Total Yeast and Mold, Cadmium",Pesticides
 yeast and mold ,Total Yeast and Mold,Total Yeast and Mold
Microbials (aerobic bacteria and Enterobacteriaceae) and Yeast and Mold,Multiple - Microbials and Yeast and Mold,Multiple
Reason Not Given,Reason Not Given,Total Yeast and Mold
"Yeast and Mold, Microbials, Arsenic","Multiple- Yeast and Mold, Microbials, Heavy Metal",Multiple
Bifenthrin.,Pesticides,Reason Not Given
Bifenthrin and other pesticides,Pesticides,Multiple
Total Yeast and Mold,Total Yeast and Mold,Pesticides
total coliforms.,Coliforms,Pesticides
Invalid Sampling,Invalid Testing,Total Yeast and Mold
MCT Oil,Prohibited Additives / Product,Coliforms
 contains a banned chemical ,Prohibited Additives / Product,Invalid Testing
Above THC,Over THC Threshhold,Prohibited Additives / Product
Use of unregulated cannabis,Prohibited Additives / Product,Prohibited Additives / Product
Invalid Testing,Invalid Testing,Over THC Threshhold
Inaccurate Ingredient Label,Inaccurate Ingredient Label,Prohibited Additives / Product
Presence of a Contaminant,Unspecified Contaminant,Invalid Testing
Not Tested,Not Tested,Inaccurate Ingredient Label
Unapproved Cannabinoid Source,Prohibited Additives / Product,Unspecified Contaminant
