Date,State,Doc Link,Type,ID,Company / Producer,Cultivator,,Product,Notes
1/22/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Plan_BVitaminEPublic_Health_and_Safety_Advisory_01222020_679263_7.pdf?rev=bca9494704d24630b9e9f920d9743a9f&hash=C57D4E3C86303A96E407F055731EE2A0,Mandatory,43852MichiganUndisclosed,Undisclosed,,,,
2/7/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Bulletin_-_020620_vitamin_E_recall_680676_7.pdf?rev=6f42e52007e3493a861785147bf708f3&hash=CA31FE4FAA34B75AD2643E927EFA7C21,Mandatory,43868MichiganUndisclosed,Undisclosed,,,,
3/4/2020,Colorado,https://drive.google.com/open?id=1oZxftn0twX4egl0ZPGDbIi0UL12ey3uS,Mandatory,"43894ColoradoCliintel Capital Group LLC, others","Cliintel Capital Group LLC, others",,,,
3/20/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/Vape_Carts_Recall_-_03202020_684355_7.pdf?rev=781b71cd09c14e29a23196354f6496f5&hash=9FC520927F7B132901318D345884C891,Mandatory,43910MichiganUndisclosed,Undisclosed,,,,
7/10/2020,Colorado,https://drive.google.com/file/d/1fA2Md16UM1sp028SKLWjIme7_Cvc_3Qs/view,Mandatory,"44022ColoradoKinfolk Farms, LLC","Kinfolk Farms, LLC",,,,
8/6/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/3843_Euclid_Recall_Notice_698577_7.pdf?rev=575192df3b56454fa1f281775c754f59&hash=F53E6204E6825E25C10F86DEF4D81D77,Mandatory,"44049MichiganKinfolk Farms, LLC,","Kinfolk Farms, LLC,",,,,
08/19/2020,Florida,https://www.floridahealth.gov/newsroom/2020/08/081820-ommu-press-release.pr.html,Mandatory,44062FloridaSurterra Wellness,Surterra Wellness,,,,
8/26/2020,Colorado,https://drive.google.com/file/d/15p7-15uOMGjz84uqEYz5hpUljx-oP62p/view,Mandatory,44069Colorado4900 Jackson LLC,4900 Jackson LLC,,,,
9/17/2020,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/9-17-2020_MRA_recall_health_and_safety_bulletin_702606_7.pdf?rev=ed2a117406a6463d99cbff9287b4a55b&hash=FCD0E3B0C0427E2A67A9D48AC06E8FF9,Mandatory,44091MichiganUndisclosed,Undisclosed,,,,
10/8/2020,Colorado,https://drive.google.com/file/d/1xowig7vPtl-lz_xUAALt3DIxeGua1xY6/view?usp=sharing,Mandatory,"44112ColoradoEvan D Management, LLC","Evan D Management, LLC",,,,
11/5/2020,Colorado,https://sbg.colorado.gov/sites/sbg/files/201105%20HSA%20Physician%20Preferred%20Products%20LLC%20403-01905.pdf,Mandatory,44140ColoradoPhysician Preferred Products LLC,Physician Preferred Products LLC,,,,
11/20/2020,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,44155WashingtonVerdelux Chocolates,Verdelux Chocolates,,,,
12/11/2020,Oregon,https://www.oregon.gov/olcc/Docs/news/news_releases/2020/nr_121120_Cannabis_Product_Recall.pdf,Mandatory,44176OregonBulk Naturals LLC (True Terpenes),Bulk Naturals LLC (True Terpenes),,,,
01/06/2021,Oregon,https://www.oregon.gov/olcc/Docs/news/news_releases/2021/nr_010621_MJ_PR_Medical_Marijuana_Recall.pdf,Mandatory,44202OregonEcotest Lab,Ecotest Lab,,,,
01/06/2021,Oregon,https://www.oregon.gov/olcc/Docs/news/news_releases/2021/nr_010621_MJ_PR_Medical_Marijuana_Recall.pdf,Mandatory,44202OregonEcotest Lab,Ecotest Lab,,,,
1/8/2021,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/Health%20and%20Safety%20Advisory%20-%20Carrick-Harvest%20LLC.pdf,Mandatory,"44204ColoradoCarrick-Harvest, LLC","Carrick-Harvest, LLC",,,,
2/10/2021,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/210210%20FINAL%20Medically%20Correct%20HSA.pdf,Voluntary,44237ColoradoMedically Correct LLC,Medically Correct LLC,,,,
2/20/2021,Nevada,https://ccbnvdev.wpengine.com/wp-content/uploads/2021/02/CCB-Public-Health-and-Safety-Advisory-2021-01.pdf,Mandatory,44247NevadaUndisclosed,Undisclosed,,,,
03/26/2021,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Voluntary,44281WashingtonHJG LLC,HJG LLC,,,,
3/30/2021,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Mandatory,44285WashingtonBlooming City,Blooming City,,,,
3/31/2021,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/20210330%20TZ%20Financial%20LLC%20403R-00123%20HSA%20Final.pdf,Mandatory,"44286ColoradoTZ Financial, LLC","TZ Financial, LLC",,,,
04/13/2021,Washington,https://lcb.wa.gov/marj/notice_of_recalls,Mandatory,44299WashingtonHeavenly Buds,Heavenly Buds,,,,
4/19/2021,Colorado,https://sbg.colorado.gov/sites/sbg/files/documents/210419%20HSA%20Primal%20LLC%20402-01058%20Final.pdf,Mandatory,44305ColoradoPrimal LLC,Primal LLC,,,,
5/19/2021,New Jersey,https://headynj.com/recall-of-moldy-curaleaf-cannabis-sold-by-curaleaf-gti-rise-issued/,Mandatory,44335New JerseyCuraleaf,Curaleaf,,,,
05/21/2021,Oregon,https://www.oregon.gov/olcc/Docs/news/news_releases/2021/nr052121_MJ_PR_Recall_Naked_Extracts.pdf,Mandatory,44337OregonNaked Extracts,Naked Extracts,,,,
6/23/2021,Arizona,https://www.azdhs.gov/director/public-information-office/index.php#news-release-062321,Voluntary,44370ArizonaSeveral,Several,,,,
7/7/2021,Michigan,https://www.michigan.gov/cra/-/media/Project/Websites/cra/bulletin/1Public-Health-an-Safety-Advisory/3843_Euclid_Recall_Notice_7-7-2021_FINAL_729720_7.pdf?rev=7ed2a67934fa43d9a2de8ad259aac5b2&hash=6942B7C8D4E3239800D68B4F6FD46B5C,Mandatory,44384MichiganUndisclosed,Undisclosed,,,,
